,Name,Latitude,Longitude,City
0,Ramanarayanam,83.3695218,18.0748673,Vizianagaram
1,Ramatheertham Temple,83.4917774,18.1673659,Vizianagaram
2,Bobbili Kota,83.3580009,18.57422,Vizianagaram
3,Vizianagaram Clock Tower,83.4093915,18.1160076,Vizianagaram
