,Name,Latitude,Longitude,City
0,Sri Sri Sri Suryanarayana Swamy Temple,83.9135487,18.2880157,Srikakulam
1,Sri Kurmanatha swamy Temple,84.0065436,18.2699871,Srikakulam
2,Salihundam Buddhist Heritage Site,84.0429281,18.3339088,Srikakulam
3,Srimukhalingeswara Temple,83.9635466,18.594872,Srikakulam
4,Mandasa Vasudeva Perumal Temple.,84.4590241,18.8804432,Srikakulam
5,Kalingapatnam Beach,84.1275189,18.3370168,Srikakulam
